GAME_DATE,GAME_ID,SEASON,HOME_TEAM_WINS,HOME_TEAM,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,VISITOR_TEAM,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2022-03-12,22101005,2021,0,Miami Heat,104,0.398,0.76,0.333,23,53,Minnesota Timberwolves,113,0.422,0.875,0.357,21,46
2022-03-12,22101006,2021,1,Chicago Bulls,101,0.443,0.933,0.429,20,46,Cleveland Cavaliers,91,0.419,0.824,0.208,19,40
2022-03-12,22101007,2021,0,San Antonio Spurs,108,0.412,0.813,0.324,28,52,Indiana Pacers,119,0.489,1,0.389,23,47
2022-03-12,22101008,2021,1,Golden State Warriors,122,0.484,0.933,0.4,33,55,Milwaukee Bucks,109,0.413,0.696,0.386,27,39
2022-03-12,22101009,2021,0,Denver Nuggets,115,0.551,0.75,0.407,32,39,Toronto Raptors,127,0.471,0.76,0.387,28,50
2022-03-12,22101010,2021,1,Utah Jazz,134,0.558,0.71,0.39,21,44,Sacramento Kings,125,0.5,0.857,0.394,27,33
2022-03-12,22101011,2021,1,Portland Trail Blazers,127,0.516,0.909,0.367,21,43,Washington Wizards,118,0.47,0.963,0.412,26,35
2022-03-11,22100995,2021,1,Orlando Magic,118,0.465,0.88,0.4,31,49,Minnesota Timberwolves,110,0.456,1,0.333,24,37
2022-03-11,22100996,2021,1,Atlanta Hawks,112,0.478,0.895,0.29,28,47,Los Angeles Clippers,106,0.488,0.824,0.375,22,36
2022-03-11,22100997,2021,1,Boston Celtics,114,0.467,0.8,0.188,23,47,Detroit Pistons,103,0.422,0.958,0.294,21,42
2022-03-11,22100998,2021,1,Miami Heat,117,0.477,0.889,0.314,28,42,Cleveland Cavaliers,105,0.443,0.931,0.32,25,40
2022-03-11,22100999,2021,0,Houston Rockets,100,0.477,0.632,0.2,29,39,Dallas Mavericks,113,0.455,0.786,0.306,20,47
2022-03-11,22101000,2021,1,Memphis Grizzlies,118,0.447,0.586,0.346,23,53,New York Knicks,114,0.422,0.757,0.4,23,54
2022-03-11,22101001,2021,0,New Orleans Pelicans,120,0.5,0.76,0.385,31,40,Charlotte Hornets,142,0.598,0.8,0.468,41,38
2022-03-11,22101002,2021,1,San Antonio Spurs,104,0.4,0.698,0.207,15,54,Utah Jazz,102,0.402,0.652,0.325,20,57
2022-03-11,22101003,2021,0,Phoenix Suns,112,0.5,0.765,0.306,27,40,Toronto Raptors,117,0.447,0.905,0.438,19,48
2022-03-11,22101004,2021,1,Los Angeles Lakers,122,0.527,0.706,0.452,25,37,Washington Wizards,109,0.459,0.667,0.333,21,47
2022-03-10,22100993,2021,0,Philadelphia 76ers,100,0.323,0.867,0.389,19,50,Brooklyn Nets,129,0.56,0.529,0.45,29,45
2022-03-10,22100994,2021,0,Denver Nuggets,102,0.417,0.781,0.226,19,49,Golden State Warriors,113,0.477,0.75,0.333,26,36
2022-03-09,22100981,2021,0,Charlotte Hornets,101,0.424,0.75,0.242,18,46,Boston Celtics,115,0.495,0.786,0.324,30,47
2022-03-09,22100982,2021,0,Detroit Pistons,108,0.512,0.765,0.355,25,32,Chicago Bulls,114,0.526,0.886,0.2,19,33
2022-03-09,22100983,2021,0,Miami Heat,90,0.398,0.769,0.303,27,38,Phoenix Suns,111,0.455,1,0.297,26,55
2022-03-09,22100984,2021,1,Milwaukee Bucks,124,0.5,0.783,0.343,24,50,Atlanta Hawks,115,0.5,0.818,0.289,26,44
2022-03-09,22100985,2021,1,Houston Rockets,139,0.51,0.947,0.425,25,50,Los Angeles Lakers,130,0.465,0.692,0.383,25,48
2022-03-09,22100986,2021,1,Minnesota Timberwolves,132,0.523,0.769,0.423,34,48,Oklahoma City Thunder,102,0.414,0.667,0.326,26,42
2022-03-09,22100987,2021,0,New Orleans Pelicans,102,0.441,0.722,0.226,23,41,Orlando Magic,108,0.474,0.846,0.378,25,45
2022-03-09,22100988,2021,0,Dallas Mavericks,77,0.314,0.68,0.136,11,37,New York Knicks,107,0.429,0.788,0.265,20,55
2022-03-09,22100989,2021,0,San Antonio Spurs,104,0.452,0.95,0.281,24,36,Toronto Raptors,119,0.482,0.929,0.367,12,47
2022-03-09,22100990,2021,1,Utah Jazz,123,0.519,0.815,0.37,31,50,Portland Trail Blazers,85,0.326,0.818,0.25,19,36
2022-03-09,22100991,2021,0,Sacramento Kings,100,0.447,0.667,0.353,24,38,Denver Nuggets,106,0.488,0.895,0.257,26,51
2022-03-09,22100992,2021,1,Los Angeles Clippers,115,0.5,1,0.5,21,41,Washington Wizards,109,0.471,0.85,0.37,26,41
2022-03-08,22100975,2021,0,Charlotte Hornets,121,0.489,0.818,0.317,26,41,Brooklyn Nets,132,0.561,0.759,0.514,33,38
2022-03-08,22100976,2021,0,Indiana Pacers,124,0.538,0.667,0.5,35,38,Cleveland Cavaliers,127,0.5,0.889,0.281,25,40
2022-03-08,22100977,2021,0,Orlando Magic,99,0.38,0.88,0.179,17,53,Phoenix Suns,102,0.38,0.826,0.351,24,52
