GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM,VISITOR_TEAM,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
3/12/2022,22101005,Final,Miami Heat,Minnesota Timberwolves,2021,Miami Heat,104,0.398,0.76,0.333,23,53,Minnesota Timberwolves,113,0.422,0.875,0.357,21,46,0
3/12/2022,22101006,Final,Chicago Bulls,Cleveland Cavaliers,2021,Chicago Bulls,101,0.443,0.933,0.429,20,46,Cleveland Cavaliers,91,0.419,0.824,0.208,19,40,1
3/12/2022,22101007,Final,San Antonio Spurs,Indiana Pacers,2021,San Antonio Spurs,108,0.412,0.813,0.324,28,52,Indiana Pacers,119,0.489,1,0.389,23,47,0
3/12/2022,22101008,Final,Golden State Warriors,Milwaukee Bucks,2021,Golden State Warriors,122,0.484,0.933,0.4,33,55,Milwaukee Bucks,109,0.413,0.696,0.386,27,39,1
3/12/2022,22101009,Final,Denver Nuggets,Toronto Raptors,2021,Denver Nuggets,115,0.551,0.75,0.407,32,39,Toronto Raptors,127,0.471,0.76,0.387,28,50,0
3/12/2022,22101010,Final,Utah Jazz,Sacramento Kings,2021,Utah Jazz,134,0.558,0.71,0.39,21,44,Sacramento Kings,125,0.5,0.857,0.394,27,33,1
3/12/2022,22101011,Final,Portland Trail Blazers,Washington Wizards,2021,Portland Trail Blazers,127,0.516,0.909,0.367,21,43,Washington Wizards,118,0.47,0.963,0.412,26,35,1
3/11/2022,22100995,Final,Orlando Magic,Minnesota Timberwolves,2021,Orlando Magic,118,0.465,0.88,0.4,31,49,Minnesota Timberwolves,110,0.456,1,0.333,24,37,1
3/11/2022,22100996,Final,Atlanta Hawks,Los Angeles Clippers,2021,Atlanta Hawks,112,0.478,0.895,0.29,28,47,Los Angeles Clippers,106,0.488,0.824,0.375,22,36,1
3/11/2022,22100997,Final,Boston Celtics,Detroit Pistons,2021,Boston Celtics,114,0.467,0.8,0.188,23,47,Detroit Pistons,103,0.422,0.958,0.294,21,42,1
3/11/2022,22100998,Final,Miami Heat,Cleveland Cavaliers,2021,Miami Heat,117,0.477,0.889,0.314,28,42,Cleveland Cavaliers,105,0.443,0.931,0.32,25,40,1
3/11/2022,22100999,Final,Houston Rockets,Dallas Mavericks,2021,Houston Rockets,100,0.477,0.632,0.2,29,39,Dallas Mavericks,113,0.455,0.786,0.306,20,47,0
3/11/2022,22101000,Final,Memphis Grizzlies,New York Knicks,2021,Memphis Grizzlies,118,0.447,0.586,0.346,23,53,New York Knicks,114,0.422,0.757,0.4,23,54,1
3/11/2022,22101001,Final,New Orleans Pelicans,Charlotte Hornets,2021,New Orleans Pelicans,120,0.5,0.76,0.385,31,40,Charlotte Hornets,142,0.598,0.8,0.468,41,38,0
3/11/2022,22101002,Final,San Antonio Spurs,Utah Jazz,2021,San Antonio Spurs,104,0.4,0.698,0.207,15,54,Utah Jazz,102,0.402,0.652,0.325,20,57,1
3/11/2022,22101003,Final,Phoenix Suns,Toronto Raptors,2021,Phoenix Suns,112,0.5,0.765,0.306,27,40,Toronto Raptors,117,0.447,0.905,0.438,19,48,0
3/11/2022,22101004,Final,Los Angeles Lakers,Washington Wizards,2021,Los Angeles Lakers,122,0.527,0.706,0.452,25,37,Washington Wizards,109,0.459,0.667,0.333,21,47,1
3/10/2022,22100993,Final,Philadelphia 76ers,Brooklyn Nets,2021,Philadelphia 76ers,100,0.323,0.867,0.389,19,50,Brooklyn Nets,129,0.56,0.529,0.45,29,45,0
3/10/2022,22100994,Final,Denver Nuggets,Golden State Warriors,2021,Denver Nuggets,102,0.417,0.781,0.226,19,49,Golden State Warriors,113,0.477,0.75,0.333,26,36,0
3/9/2022,22100981,Final,Charlotte Hornets,Boston Celtics,2021,Charlotte Hornets,101,0.424,0.75,0.242,18,46,Boston Celtics,115,0.495,0.786,0.324,30,47,0
3/9/2022,22100982,Final,Detroit Pistons,Chicago Bulls,2021,Detroit Pistons,108,0.512,0.765,0.355,25,32,Chicago Bulls,114,0.526,0.886,0.2,19,33,0
3/9/2022,22100983,Final,Miami Heat,Phoenix Suns,2021,Miami Heat,90,0.398,0.769,0.303,27,38,Phoenix Suns,111,0.455,1,0.297,26,55,0
3/9/2022,22100984,Final,Milwaukee Bucks,Atlanta Hawks,2021,Milwaukee Bucks,124,0.5,0.783,0.343,24,50,Atlanta Hawks,115,0.5,0.818,0.289,26,44,1
3/9/2022,22100985,Final,Houston Rockets,Los Angeles Lakers,2021,Houston Rockets,139,0.51,0.947,0.425,25,50,Los Angeles Lakers,130,0.465,0.692,0.383,25,48,1
3/9/2022,22100986,Final,Minnesota Timberwolves,Oklahoma City Thunder,2021,Minnesota Timberwolves,132,0.523,0.769,0.423,34,48,Oklahoma City Thunder,102,0.414,0.667,0.326,26,42,1
3/9/2022,22100987,Final,New Orleans Pelicans,Orlando Magic,2021,New Orleans Pelicans,102,0.441,0.722,0.226,23,41,Orlando Magic,108,0.474,0.846,0.378,25,45,0
3/9/2022,22100988,Final,Dallas Mavericks,New York Knicks,2021,Dallas Mavericks,77,0.314,0.68,0.136,11,37,New York Knicks,107,0.429,0.788,0.265,20,55,0
3/9/2022,22100989,Final,San Antonio Spurs,Toronto Raptors,2021,San Antonio Spurs,104,0.452,0.95,0.281,24,36,Toronto Raptors,119,0.482,0.929,0.367,12,47,0
3/9/2022,22100990,Final,Utah Jazz,Portland Trail Blazers,2021,Utah Jazz,123,0.519,0.815,0.37,31,50,Portland Trail Blazers,85,0.326,0.818,0.25,19,36,1
3/9/2022,22100991,Final,Sacramento Kings,Denver Nuggets,2021,Sacramento Kings,100,0.447,0.667,0.353,24,38,Denver Nuggets,106,0.488,0.895,0.257,26,51,0
3/9/2022,22100992,Final,Los Angeles Clippers,Washington Wizards,2021,Los Angeles Clippers,115,0.5,1,0.5,21,41,Washington Wizards,109,0.471,0.85,0.37,26,41,1
3/8/2022,22100975,Final,Charlotte Hornets,Brooklyn Nets,2021,Charlotte Hornets,121,0.489,0.818,0.317,26,41,Brooklyn Nets,132,0.561,0.759,0.514,33,38,0
3/8/2022,22100976,Final,Indiana Pacers,Cleveland Cavaliers,2021,Indiana Pacers,124,0.538,0.667,0.5,35,38,Cleveland Cavaliers,127,0.5,0.889,0.281,25,40,0
3/8/2022,22100977,Final,Orlando Magic,Phoenix Suns,2021,Orlando Magic,99,0.38,0.88,0.179,17,53,Phoenix Suns,102,0.38,0.826,0.351,24,52,0
3/8/2022,22100978,Final,Memphis Grizzlies,New Orleans Pelicans,2021,Memphis Grizzlies,132,0.475,0.833,0.364,30,52,New Orleans Pelicans,111,0.466,0.667,0.324,24,45,1
3/8/2022,22100979,Final,Oklahoma City Thunder,Milwaukee Bucks,2021,Oklahoma City Thunder,115,0.5,0.714,0.41,26,36,Milwaukee Bucks,142,0.53,0.8,0.5,35,53,0
3/8/2022,22100980,Final,Golden State Warriors,Los Angeles Clippers,2021,Golden State Warriors,112,0.478,0.846,0.382,33,51,Los Angeles Clippers,97,0.355,0.826,0.308,23,47,1
3/7/2022,22100968,Final,Detroit Pistons,Atlanta Hawks,2021,Detroit Pistons,113,0.462,0.652,0.364,27,47,Atlanta Hawks,110,0.452,0.682,0.289,28,48,1
3/7/2022,22100969,Final,Philadelphia 76ers,Chicago Bulls,2021,Philadelphia 76ers,121,0.488,0.794,0.4,29,38,Chicago Bulls,106,0.448,0.769,0.333,22,48,1
3/7/2022,22100970,Final,Miami Heat,Houston Rockets,2021,Miami Heat,123,0.538,0.786,0.452,26,50,Houston Rockets,106,0.443,0.682,0.302,22,33,1
3/7/2022,22100971,Final,Minnesota Timberwolves,Portland Trail Blazers,2021,Minnesota Timberwolves,124,0.413,0.795,0.302,21,67,Portland Trail Blazers,81,0.277,0.737,0.25,11,42,1
3/7/2022,22100972,Final,Dallas Mavericks,Utah Jazz,2021,Dallas Mavericks,111,0.443,0.8,0.37,19,43,Utah Jazz,103,0.434,0.792,0.387,22,45,1
3/7/2022,22100973,Final,San Antonio Spurs,Los Angeles Lakers,2021,San Antonio Spurs,117,0.548,0.533,0.346,28,47,Los Angeles Lakers,110,0.473,0.696,0.308,19,43,1
3/7/2022,22100528,Final,Denver Nuggets,Golden State Warriors,2021,Denver Nuggets,131,0.548,0.707,0.313,39,41,Golden State Warriors,124,0.511,0.739,0.425,29,41,1
3/7/2022,22100974,Final,Sacramento Kings,New York Knicks,2021,Sacramento Kings,115,0.488,0.722,0.344,23,40,New York Knicks,131,0.511,0.826,0.429,19,47,0
3/6/2022,22100960,Final,Boston Celtics,Brooklyn Nets,2021,Boston Celtics,126,0.482,0.763,0.472,25,37,Brooklyn Nets,120,0.506,0.9,0.444,24,45,1
3/6/2022,22100961,Final,Milwaukee Bucks,Phoenix Suns,2021,Milwaukee Bucks,132,0.54,0.793,0.469,31,48,Phoenix Suns,122,0.538,0.727,0.452,33,27,1
3/6/2022,22100963,Final,Washington Wizards,Indiana Pacers,2021,Washington Wizards,133,0.523,0.813,0.405,33,36,Indiana Pacers,123,0.518,0.862,0.323,28,42,1
3/6/2022,22100964,Final,Houston Rockets,Memphis Grizzlies,2021,Houston Rockets,123,0.524,0.667,0.382,23,45,Memphis Grizzlies,112,0.454,0.704,0.192,27,40,1
3/6/2022,22100965,Final,Oklahoma City Thunder,Utah Jazz,2021,Oklahoma City Thunder,103,0.424,0.895,0.2,20,47,Utah Jazz,116,0.449,0.765,0.442,27,48,0
3/6/2022,22100962,Final,Cleveland Cavaliers,Toronto Raptors,2021,Cleveland Cavaliers,104,0.459,0.652,0.306,24,58,Toronto Raptors,96,0.394,0.615,0.25,17,45,1
3/6/2022,22100967,Final,Denver Nuggets,New Orleans Pelicans,2021,Denver Nuggets,138,0.54,0.791,0.303,32,47,New Orleans Pelicans,130,0.475,0.69,0.424,30,49,1
3/6/2022,22100966,Final,Los Angeles Clippers,New York Knicks,2021,Los Angeles Clippers,93,0.375,0.727,0.324,17,43,New York Knicks,116,0.472,0.633,0.448,19,57,0
3/5/2022,22100954,Final,Dallas Mavericks,Sacramento Kings,2021,Dallas Mavericks,114,0.476,0.741,0.389,22,39,Sacramento Kings,113,0.489,0.667,0.36,24,45,1
3/5/2022,22100955,Final,Charlotte Hornets,San Antonio Spurs,2021,Charlotte Hornets,123,0.462,0.793,0.381,29,50,San Antonio Spurs,117,0.459,0.8,0.297,28,51,1
3/5/2022,22100956,Final,Miami Heat,Philadelphia 76ers,2021,Miami Heat,99,0.486,0.842,0.464,20,38,Philadelphia 76ers,82,0.341,0.826,0.171,13,41,1
3/5/2022,22100957,Final,Memphis Grizzlies,Orlando Magic,2021,Memphis Grizzlies,124,0.5,0.667,0.412,25,55,Orlando Magic,96,0.43,0.688,0.314,25,41,1
3/5/2022,22100958,Final,Minnesota Timberwolves,Portland Trail Blazers,2021,Minnesota Timberwolves,135,0.565,0.828,0.405,36,42,Portland Trail Blazers,121,0.471,0.833,0.421,24,41,1
